,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_2000to2014_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,dentists_per1000,young_females_%,pa_provider_density_per10000,median_age,lt5years_%,snap_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,bachelors_degree_%,vacant_rentals_%,employed_male_%
Abington,-0.14451375370827907,0.7924316037114514,-0.5699400460614136,0.4817758354614794,-0.31124027680209804,-0.23854867918419745,-0.2790352436730599,-0.4748462654364061,0.04970149786243628,0.0776562258723453,-0.15431438144816306,-0.16328179466609724,-0.1859736971719617,-0.09379445187839107,-0.1875186008028332,-0.3869590664161898,-0.13895843836777966,-0.8814123374113769,0.9452956566999188,0.08705353746141613,0.5625407672260248,0.6868763685437124,0.23566026185015854,0.10960972908864236,-0.5560517227309697,1.6762921135272406,-0.5797844516366639,-0.003927090898981225,0.17717591154934353,-0.4571694650274786,0.032761450264558185,-0.7498540280545033,-0.9712038880666136,0.8215533017517587,-0.0024501250252007218,0.3918414362995731,-0.44229948498173854,-0.4018781445741938,0.2430856852273062,-0.08784524291016525,0.48756985165141503,0.6635801586970326,0.07555480508549713,0.19531202112964954,0.03554504422171652,0.5191324958080079,0.061744543631708615,1.2047810629919569,1.0714846461775214,-0.569405943523222,-0.2991801516798277,-0.09854644193244537,-1.1538471385019995,0.9544486831823592,-0.03878018623734274,-0.14149186114281415,0.16120721518207054,0.07690612865630031,-0.015887894396762352,-0.2763871597508539,0.03863413267166686,-0.42146905487600506,-0.1454585395553364,-0.7762362169430987,0.11076340575898376,0.04206859936718225,0.2541298658031759,-0.4828868278955658,0.10135246646646184,0.18154474992646646,-0.6112999753247236,0.19512019210754206,-0.5557708159004748,-0.9062967471776308,1.2738961547110677,0.1953285724837556,-0.1465845533027426,-0.33824301683782404,-0.563750956827763,0.3267813579125403,-0.4304228171070196,-0.1421971705092017,-1.0896152006738578,-0.6851960346300484,-0.2621735480641705,1.7034574419776318,0.16884246218093393,-0.08763267268367628,0.35626428458157644,0.1447611487902814,-0.3730620206786233,-0.13022037581489349,-0.4534349005225248,0.5262652084019331,-0.2835794417237762,-0.02951102923541997,-0.11090344167754146,-0.4865710935160485,-0.18652065110540608,-1.8356505237644576,-0.051389663763572166,-0.4418998442162307,0.04531453471604085,-0.09036283093891008,1.0289986450850468,-0.5789985079258536,-0.15284342969395484,-0.4882045043147362,-2.3027676206400343,-0.51222018413592
Acton,-0.5397682541104062,0.750384212494109,0.7258874644612827,-0.4763697019956493,-0.31124027680209804,1.115671515047174,0.4678967212242428,0.6014427328820874,-1.8451311302789233,-0.013870104386812163,-0.15431438144816306,4.0173410482790235,0.9108886765835351,-0.3386940330841733,-0.3241686529658586,0.7573542087590337,3.7789261645560224,0.6601105861753976,-1.1677976620393935,-0.7682705368106442,-0.9952404516506456,-0.9541528924396532,-0.6783935461273509,-0.7943828701012956,-0.3519847002286325,-1.378514420689309,-0.5797844516366639,-1.4187102756988423,-1.3416425463744637,-1.0393768713983724,-1.3300468768027898,-0.864899441060229,-0.12713715654244698,0.3259459373074782,-0.6037753459883469,0.3918414362995731,0.12506751737866414,-0.7627137948296409,0.28439365829245483,1.0381037554018018,-1.2266448761015845,0.2617919308159589,0.9188711980913528,1.6753688991757991,-0.6070347355523655,0.8353580360381919,0.04126029522459282,-1.0992337814204902,0.3211366086526292,-0.3967500872679388,-0.2991801516798277,-0.5789603463531271,0.040603910966790516,0.4133555765274234,-0.5364175438249126,-0.13069499002000762,0.1718439108171189,0.08447855366434481,0.0056813734912672855,2.3546842107140145,0.5894044708193102,1.1096748159953091,0.11320590956597593,0.33296684863066417,-0.0536521506750575,0.4387834589299987,1.272290651746825,0.9869306708657956,0.18731187163477195,0.22211235340092195,0.6834768548207706,-0.11360315548417825,-0.5557708159004748,-0.3054157446217565,0.5940740326185412,0.6550079569954398,1.1109193587793649,0.0487687398901075,0.8237862723528032,0.8856444484070379,-0.10492516679132984,0.08633123429741772,-0.8095740470675473,0.3636528446831534,0.1286307390452273,1.512422025713127,-0.3977958796827495,-1.0209553198806784,0.16589509122190513,0.2806652965011177,-0.2716801925134044,0.2621174088291128,-0.9509792277417044,0.8507132555021882,-0.3018396479327372,-0.10061461278305443,-0.2693914744960648,1.3807001899758256,0.4222419231813744,-0.951689549178648,0.1596703208693392,-0.3795837888970849,0.407507569267442,0.4974398212981545,0.35005805996783457,0.7394196068832346,-0.8799171099131494,2.0312751965230644,-2.8597698202483506,0.33692001964993856
Acushnet,-0.5397682541104062,0.6873131256680953,-1.127916177930735,-0.30728519538556776,-0.31124027680209804,-0.6460821861595129,-0.5784464330207819,-0.3210906942480499,0.4795605086362749,-0.6122130386990301,-0.15431438144816306,-0.5655475224644902,-0.1859736971719617,0.5979811342404943,-0.03881210247777893,-1.4619084813905134,-0.3365158724450949,-0.29075048805538045,0.16035142701874314,0.17657468240103472,0.6749946188914278,-0.34206819778008624,-0.6787611526965759,0.5088297038320684,-0.09252098331393012,-0.25833983895225515,1.8605316918023997,1.3401898289622145,1.2492179974161148,1.6952583392579017,-0.2346948188589174,1.481961654589501,-0.5982315672576716,3.230443092432779,0.9071418686484108,-0.18308318654613787,0.6880365906709947,0.85961131168727,0.08479368080832969,-0.5425554153053825,-0.5379647234671915,-1.023930398403477,0.3537642825223627,-0.5871444805253161,-1.349856223221744,0.8020711370665936,0.9118408525269645,-0.4775154900710997,-0.6960018422144469,-0.1994291086904723,-0.4023355870822046,-0.6990638224582975,-0.8009411466134935,1.215371050818336,0.2832204569075554,-0.2845504035200008,0.11866043264187714,-0.12250106322220546,0.0056813734912672855,-0.03471164471150901,0.1955937193660512,0.4430891536301197,-0.23703516336059435,0.7766480748601692,-0.5848408714619601,0.2526374912460993,-1.0242728643556491,0.3027724246234223,-0.9491284950430308,0.21146287187780355,-1.039836731496772,0.19175230104290514,-0.5557708159004748,-0.15519549398278548,-0.7655702115665118,-0.06004886335606902,-0.8801285020173051,-0.33824301683782404,-0.681839231651641,-0.9968602351590706,-0.6602726851529694,0.311264995962078,-0.05668500867540209,-0.5057876736948962,0.8642623383099753,1.1849327406882613,-0.5977858826934614,-0.3581609762190395,-0.8811354722562857,1.8435629951757384,-1.2652221085325486,1.2429618704391288,0.24898062025749365,1.2833106516358619,-1.1418091335449423,-0.11702313206327852,-0.0008423077757902637,-0.8784675357303928,-0.20845804116979474,-0.4293489732870343,-0.06395381544418849,-0.3540941756584225,0.02037652663602492,0.3676199119418352,-0.5968853876956469,1.575279457448474,1.6898198416087002,-1.4205963603036018,0.5145213651945975,0.9382025802474858
Adams,0.21780287166033746,-0.7843455669388901,-0.3694719397872541,-0.4200081997922888,1.0285525102384545,-1.0672651407368725,-0.6141970227936444,-0.6798536936875479,0.6777735469008043,-0.388029039175566,-0.1135610104978612,-0.6267452327006078,-0.1859736971719617,-0.4518898707508449,-0.6658235600774763,-1.3103112741244067,-1.034398317313049,-0.6056848476681258,-1.6637683729521229,0.8325660048175497,-0.2368557091760665,-0.0908412777390233,0.6915750416399521,1.669930321334363,1.1565387962525229,1.8124386116191344,0.7745435909280102,0.8619465930607932,0.4648370085390501,0.571690781275456,-0.010813518732226088,0.02372085325347991,0.6718349165625652,-0.2663843133421801,-0.6037753459883469,0.3918414362995731,-0.68849952347798,-0.3916104222309249,-0.18455745713131788,-0.2610681657273911,1.8574445030872182,-1.7069703858013026,0.777504451920177,-1.27756797070016,-0.012408670686797066,-0.12996203413815816,0.7684511136771629,0.4002044506574517,-0.629304238878901,-0.1994291086904723,-0.2991801516798277,-0.5789603463531271,-0.6109148432889132,0.5224296810309874,0.16612931394577424,-0.12529655445860435,0.13567914565795453,0.04661642862412221,0.0056813734912672855,-0.9713871444019512,-0.9527524759940912,-0.695703778017137,-0.3087136536000926,0.18507310655416254,-0.2749807843362668,-0.2328613750572386,0.4997247287208029,-0.4632967644517242,-0.7532213540804491,0.117703637745728,-1.039836731496772,-0.012566423545069805,-0.5557708159004748,-0.08008536866330314,0.037855932724655546,-1.592313478395016,0.1356777495436443,-0.33824301683782404,-0.563750956827763,-0.07343209019049309,-0.459537239652926,0.38906629522999786,-0.6840925406688564,0.6396657076603102,-0.7219432976046377,0.1205925643574488,-0.4311275468512015,-0.08763267268367628,-1.4046507539953814,0.7053657580974818,0.5799271640744336,0.7665517033714067,0.6001883806475027,1.1030617365801647,-0.5392223286492301,0.3916409656236488,0.35575576606589293,-2.768791551117228,-0.5594562822000105,0.13317164690393565,-0.07854776485867597,-0.2868920876422375,-0.18989738798281772,0.17367348118178005,-0.38248309765863203,0.8471335051519508,1.1289997811605312,-1.3148578520020135,0.2270169924567989,0.2668083304317733
Agawam,-0.27626525384232153,-0.4269427415914794,0.0928794640479947,-0.2509236931822072,-0.31124027680209804,-0.7279788717717772,-0.5656783652447598,0.4989390187565165,0.438561145502573,-0.28920769003112673,-0.1038330454510757,-0.15555203234291254,-0.1859736971719617,-0.26491485261173525,-0.4302147106480985,-0.43978035502854096,-0.5308753227331128,0.1912470455486282,-0.7639465543633446,0.6446876675286948,-0.2792184728815524,0.2276115079152327,0.027669923082041116,0.3367996849595344,0.30819895655385937,0.4338460180108469,-0.26932747717849503,-0.42561730638362394,0.5031792943495283,0.4445860951604602,1.4132412446827898,0.1654845365497884,-0.19551232958494072,-0.5542962410396797,1.1913723508912075,-0.4851972413124372,0.12038571016065565,0.19918846771110704,-0.24247481259009085,-0.08784524291016525,-0.994589607279126,-1.1444668667677993,0.2092066165854272,-0.8504025175687993,0.0771356700366004,-0.16324893310975647,0.8606302315091788,-0.33122883328300795,-0.595955437211128,-0.5447408212010387,0.010286154527303214,0.5019709385934067,-0.8280877613741479,0.31925242754395594,0.04903817098399309,-0.1684840389498305,0.2037539977222639,0.087002695333693,0.0056813734912672855,-0.32603001579736085,0.09371116648643124,0.18032380979480966,-0.038706251313210496,0.08647727850316135,1.1225514453530838,0.9595241650649268,-0.5079218618478083,-0.020086547222441253,-0.09991267105716273,0.161600713233595,-0.24005422933610404,-0.04680664936887882,0.10017415768610034,0.10768994463540796,0.037855932724655546,-0.4175772735318232,-0.0553141080709768,-0.33824301683782404,-0.5440695776904501,-0.25328864097772863,0.07967377007307617,0.038154752647712814,-0.8261470762145442,0.37745348783200977,-0.3771159854492868,0.14788333810952095,-0.197805876672038,-0.12821191821398076,-0.11965869881760115,0.4165694442119544,-0.25140382688036056,-0.6066305428826154,0.6001883806475027,0.7065141234576305,-0.3748804727685812,-0.2100047413178752,-0.04046431598041913,-0.34825470214627985,-0.01650587810639539,0.17335169120329064,0.00017893434761417156,-0.5096732521659529,-0.3360814713594554,0.2644771357816414,-0.18594766512470176,-0.9193744264549972,0.3122649210948072,-0.6309263281781676,0.5145213651945975,-0.5615110941734389
Alford,0.053113496492784434,0.5191235607987256,-0.6765062169095049,-1.0399847240292543,-0.31124027680209804,0.8816809847264185,0.17438301769012265,1.3189687317610832,1.1934896299196174,-0.2591422022806604,-0.15431438144816306,-0.39928564721195614,-0.1859736971719617,-0.5140580147036712,-0.8534634228615674,2.770311596464476,0.019591731962399567,1.343522787134832,-0.9897854021716412,-0.8320479530771764,-0.5364949390756789,-1.6950135281751515,3.138283257936473,-1.3509579608746929,-0.5804218408496131,-1.21800173277994,-0.5797844516366639,0.28100865826621124,-0.7447163963304593,-1.4932455422892612,0.03788341277013785,-1.23096276027941,2.1344097195316083,-0.8576877375269001,-0.6037753459883469,0.3918414362995731,1.1513058157872404,0.4185287952270935,0.4390121292141261,-1.66850441361735,-0.1936246471499952,1.4671566144591803,-0.13896555732281962,0.6872101734672121,0.050945564201950684,0.3526980009500164,-1.3311843480520875,1.6436410333562328,0.1377181994798778,0.3185384600753773,1.041840508551073,0.6220744146985772,2.5652390837076418,-1.218478575163155,0.6052211000524534,-4.303797591018811,0.9395687622028056,-0.8424607034219238,-2.3452320945238654,1.4552952216851154,-0.5926606497690023,-0.4598460191661258,-0.3341943343020917,0.524703342119099,-0.9516140358148212,-0.8767702097444433,-0.8277894158427063,-1.888883774910825,-0.8406718064780546,-0.7036275424784291,-1.039836731496772,-0.16524415180861146,-0.5557708159004748,2.5112139548589067,-2.248818477950207,0.2464040596517207,-0.8801285020173051,8.890498874366697,1.3551835090602542,-0.9968602351590706,-0.8843526179653642,0.5244645202437913,1.4277848877770352,-0.7403986072254801,2.8182837738569613,-1.380399992006517,0.13551079501248192,-0.30405531551196685,2.8905541711821985,-1.5710287160590306,-1.3868803023308114,-0.6907029253063309,-0.8924446010100361,0.7065141234576305,-0.8679060404105277,-1.0993177345434542,-1.2940900143708411,0.4639341088937863,-2.255107588144965,0.3905683058218091,0.6073713610043945,0.9818944675045111,-0.6462666961295106,0.19459494902450444,-0.8470213927388304,1.575279457448474,-0.4887833909638415,0.5816426697979401,0.5145213651945975,0.4510104243655882
Amesbury,-0.045700128607747324,0.5191235607987256,0.035534552330406,0.4254143332581189,-0.31124027680209804,-0.25609796895825404,-0.2605215453978276,0.1914278763798042,0.37984204372702857,-0.4130920068527222,-0.011539076344071166,-0.44510090965564003,-0.1859736971719617,-0.4264374086837649,-0.01375515979865167,-0.0831369010657916,0.5929988502522509,0.5370923536032982,-0.5490651926453132,0.028733297832185645,-0.2531500549194328,1.1332181299266946,-1.0140080586977815,-1.2827235908629098,-0.3176221141049788,0.07619475105886013,0.32116167826942604,0.0513078114782475,0.0501461865588551,-0.008199618048757904,-0.8382223552180746,-0.588049601058521,-0.5144320752345298,0.4902315556964602,-0.6037753459883469,0.3918414362995731,-0.327203194164339,0.06990868899626132,0.15271087193935232,0.2369477373721327,0.7570533896387863,-0.22035394264132951,-0.7107998270892464,-0.2622144751620113,-0.009918766258855016,0.11968970814882915,0.1539236614637234,2.2287876605086003,-0.4792346313739226,-0.3227547203013889,-0.09286928087507376,1.1024883191192592,0.5020963618979141,1.0485518321658265,0.5759483143120081,0.10413695690103454,-0.07705476704301213,0.006230161914551416,0.0056813734912672855,0.2448628287374691,-0.5121362054759764,0.4240880081424819,-0.1263412588141986,0.35761580564341433,0.6925415285255914,-0.1848390617407233,-0.8514565402539902,-0.031202580281965743,-0.40832239805275533,0.2512717866549265,-0.21026290404072093,-0.10518342782258587,-0.3242608252228601,-0.4180809326009831,0.4704700104199003,0.29747954681968536,-0.2801098342899556,0.018998604757189674,-0.2783709593367245,-0.1786105224051822,-0.1745152219333918,-0.006509721334560899,-0.9255852510965256,-0.8508037524163442,0.05966527661415645,0.4207910756302423,0.9021391398868768,0.223474876381991,-1.4522430523352994,0.5864496288505002,1.3909817893961842,1.5792514001339917,0.24898062025749365,-0.9517758950547842,-0.3748804727685812,-0.2373522734515804,-0.2693914744960648,0.6891182331269832,-0.1508723922507749,0.09299160260458066,-0.03669712821725083,-0.44937710928452906,-0.0015807609687144464,-0.026032401202384918,0.9039306425634543,-0.2041541419507205,-0.026735507561673446,-0.02815853911112562,-0.5890654275340244,-0.02141435552794713
Amherst,0.8436224972970388,-5.430582296455232,1.5682790199296293,-0.4200081997922888,0.17303344421169836,-0.2677974954742918,0.4391685687281927,-2.4224168338222523,-0.4937507213739321,0.9256738882972232,0.21184318523625545,2.5143107435178904,0.2470271149021701,-0.1288419634912227,0.7945143286002785,-1.0332318053884275,-0.17838875414567473,2.33329239404852,-1.7072418251721084,0.507065073289058,0.4769332725477428,3.3537071085821277,-0.0678815063902543,2.869076900758761,0.3656447672801112,1.3606055894330171,-0.19628914595530167,-0.9391357180566984,-1.259666826214456,-0.8538396415526097,-0.990141402384758,0.6245662771320589,-1.7948657459388428,-0.20461951311823795,1.094894695707056,0.3918414362995731,-3.808895620690265,-7.9694738696499074,0.19859155862196584,-2.361396104886253,-0.3208807623106983,-0.8230362844629402,1.7726918146796522,-1.2625809436013329,-1.7470420888197595,-3.0092787951814093,-3.1337982078781748,0.07105947288424462,0.9047406378386564,4.7829256003905565,2.5891720395867277,0.02155703417272517,0.8821489685470745,-2.2193938870782133,-0.272962472160905,0.24179706371681794,-0.19618575815555336,0.013802586922595944,-0.01280657041275812,1.0639699535048337,0.14878820030119552,0.3098235401670106,-0.09870977585589268,1.1710313870641742,-0.3698359130482137,-1.8220773385970896,-0.4893067824810887,8.314256388561548,1.5085417115879556,0.20621974730904186,-0.22172110607740664,2.786712366345673,0.40885414525625335,-4.173587198575201,-1.6307983669570008,-0.2813759744172501,0.18976393931061666,0.10830901015594313,1.532315921296071,-0.2082535401013841,-0.24039699503655546,-0.02394580645992577,-0.8048388958826909,0.6948682802557419,-1.4115979219153394,0.011429469349160651,-0.8311075528726249,0.4669503495638178,0.5823277016961861,0.552473591922791,-0.6569311395412358,-0.6346546703571874,-0.7461080341808656,0.273916727323957,-0.15575799826104922,-0.07873658707609707,-0.17253767666252448,0.6430127693370603,0.18367280623114965,1.1376727543878091,0.09915323892457352,-0.40648722855318137,0.4001619251854933,0.2936327531361508,-2.0977014179547484,-0.5833070638566024,-0.07313420780649244,1.1694019871014083,-1.838413573196052,0.3051309294064681
Andover,-0.14451375370827907,0.6242420388420817,0.4586372837367383,-0.08183918657212567,-0.31124027680209804,1.2794648862717026,0.7928440461240095,0.3964353046309456,-1.1415848521273404,-0.07431643400503987,-0.030375321208610168,1.7286991292789256,-0.1859736971719617,-0.11774738854882713,-0.0671498077233799,1.219560862075858,1.7558201683182637,0.5117668760664968,0.3252473642531437,-0.8553604234940244,-0.6635453495065111,-0.9731283705110534,-1.2192824015829593,-0.4393196200344176,-0.4168105733219536,-1.4740279652328605,0.02946198176283552,-1.3591671495700082,-1.3107726366312664,-0.7234382881191842,-0.9979458453068808,-0.5021611043205999,0.17180681091546965,-0.12816014641779672,-0.6037753459883469,-0.2121906790620012,0.1278713850063912,-0.08352392143934095,-0.07615828602236871,1.1680209475147212,-0.06636853198929228,-0.22035394264132951,0.9994743760865891,2.0123659240106946,-1.0703413965146198,0.23619385454942324,-0.33769830030702824,-0.14837051229789291,0.037671794476558725,0.19521284846446085,0.010286154527303214,0.5019709385934067,0.4749497471372593,-0.5533404084845575,-0.3607808293822409,-0.006530972107732483,0.037821545815509984,0.04661642862412221,-0.00048127447674118387,0.96468424141182,0.5894044708193102,0.9725574544247434,0.5006840754705563,1.2203293010896743,0.3953287918948244,0.5292245578048592,0.8925855370473202,0.7313416850669646,1.3733534314065676,0.2532883448063585,0.9011826935178006,0.05984323434462455,-0.5557708159004748,-0.15519549398278548,0.037855932724655546,0.4847563331022235,0.43822237355264587,-0.08519686820802265,0.3711145521946043,0.30254721552133834,0.3631913957384041,0.09756965883319796,-0.9397907046510944,1.1088875747214786,0.4734580512005776,0.06601101685330454,-0.8977708872095289,-1.048008150234215,0.9273718646605896,-0.07608309123982822,-0.5149965801099294,-0.8588476901537622,0.3953171870866639,-0.7354771969879474,-0.21053861688793274,0.3588239270631957,0.29412153108091,0.43553818228240815,-0.3592775978624656,-0.1882687074909043,0.1315088639999304,-0.5277592582106991,0.5381825759789538,-0.030578350414561382,0.010587767409227207,0.015582210517460638,-0.8501538828336146,1.9025359652208884,-0.8698032237050732,-0.4305561968362632
Aquinnah,-0.7044576292779593,-3.01285730145804,4.4529629606357455,-0.30728519538556776,-0.31124027680209804,6.326835617398995,5.067593137536265,-1.4486315496293292,-4.708325169313609,-0.5257145095178178,17.88411459685812,-0.6867391519286803,-0.1859736971719617,-0.381125038142042,5.112604651815727,-0.8632030465572877,-1.3017733112006302,-1.8641371796660748,-2.5161630339872234,-0.9101364900625484,0.17409187731266365,2.3874889188056345,2.567262722687183,-0.3017728139220313,-1.770674296038952,-2.4377367017958025,4.7645305913846485,0.4438987654862865,-1.1047964705125979,1.0592800196866266,-0.8886221361956823,-1.23096276027941,-1.4946585798452376,-0.8576877375269001,-0.6037753459883469,0.3918414362995731,-0.5763218015146856,1.2731684225855853,-6.3224560761085575,5.217106768367373,-1.0619604917759689,2.4314483613737576,-1.118161104822386,-0.20550300172701266,-0.9288779375345048,-0.7624131145985259,-1.1775524849987278,0.4002044506574517,0.6379502244964725,1.5517945761845429,0.010286154527303214,0.2617639863830658,0.3120700585733336,-1.870784494253097,0.6052211000524534,-3.64080149451376,0.6002259100582041,-0.876838880298839,-2.0997455741600524,-0.9236982586675464,-2.852469326459268,2.831813428256102,0.7079414560913034,-0.024443028054214902,-0.9516140358148212,2.0457245461179223,-1.7554462603486565,1.9265034879981973,0.7035400758342415,-2.213303506779837,-0.4738015508844941,0.02055117192386012,-0.5557708159004748,-1.0752945291464708,-1.1981842892617562,0.8593099056672996,-0.8801285020173051,-0.33824301683782404,-0.681839231651641,-0.9968602351590706,-0.8843526179653642,0.5181429064424149,1.4277848877770352,-3.873144602016225,0.3355271263384372,1.7307482157297032,-2.031047570936896,3.578025840220491,1.5103775193245823,-1.8088609745529949,0.07301802324833961,-2.3161023188315,-0.4827022138883589,-0.5912780649433897,1.6520024164260876,-0.6097095777004872,1.4838144534526807,-1.4131043995277413,-0.5713732800552762,-0.6073274831393226,-2.7401438870585624,-1.8306406915285256,-2.6320699540032253,-0.13185469100187755,-0.7398202477203228,-0.956153811083852,1.6146512651476062,-0.05029746948944135,0.5145213651945975,-0.9394698397862572
